collid	category	local_hit	away_hit	all_hit	local_srch	away_srch	all_srch	local_user	away_user	all_user	local_brws	away_brws	all_brws	month_year
tdh-bib	bib	0	0	0	0	0	0	1	8	9	0	0	0	Aug-05
uky-bib	bib	0	0	0	0	0	0	1	8	9	0	0	0	Aug-05
etd	text	190	2128	2318	0	0	0	155	1632	1787	0	0	0	Aug-05
jei-bib	bib	0	0	0	11	22	33	1	6	7	0	0	0	Aug-05
mpm-bib	bib	0	0	0	12	56	68	1	8	9	0	0	0	Aug-05
shld-bib	bib	0	0	0	13	62	75	2	6	8	0	0	0	Aug-05
ggma	text	17	5	22	0	0	0	8	1	9	0	0	0	Aug-05
ldr	text	2	0	2	0	0	0	2	0	2	0	0	0	Aug-05
jei	text	1	1781	1782	0	2	2	2	305	307	2	401	403	Aug-05
dtlpc	text	5	6	11	2	2	4	10	9	19	0	4	4	Aug-05
map	image	59	1	60	65	2	67	27	13	40	2	2	4	Aug-05
nocol	text	0	0	0	0	0	0	49	30	79	0	0	0	Aug-05
uht	text	4	23	27	21	28	49	33	14	47	2	2	4	Aug-05
utk01	text	9	0	9	6	2	8	8	3	11	10	0	10	Aug-05
utl02	text	3	0	3	11	4	15	10	8	18	18	1	19	Aug-05
iag02	text	3	0	3	0	0	0	1	0	1	2	0	2	Aug-05
agp02	text	0	0	0	0	0	0	2	3	5	0	0	0	Aug-05
per02	text	0	0	0	0	0	0	1	0	1	0	0	0	Aug-05
cls02	text	0	0	0	0	0	0	1	0	1	0	0	0	Aug-05
etd	text	273	1728	2001	0	0	0	149	1289	1438	0	0	0	Aug-06
ggma	text	0	134	134	0	0	0	0	105	105	0	0	0	Aug-06
shld	image	2	290	292	0	46	46	4	158	162	0	12	12	Aug-06
utcat	text	6730	21441	28171	0	0	0	3582	14290	17872	4320	13935	18255	Aug-06
rth	image	11	1862	1873	5	201	206	20	972	992	0	140	140	Aug-06
gar	image	16	341	357	0	129	129	5	190	195	0	21	21	Aug-06
tdh	text	17	2413	2430	119	12091	12210	24	2339	2363	5	841	846	Aug-06
etd-bib	bib	0	0	0	47	245	292	89	385	474	37	93	130	Aug-06
mcc	image	8	706	714	10	473	483	8	366	374	0	17	17	Aug-06
wcc	image	13	117	130	0	19	19	11	54	65	13	9	22	Aug-06
ual	image	8	833	841	20	922	942	7	392	399	0	15	15	Aug-06
egy	image	23	218	241	5	150	155	10	305	315	0	0	0	Aug-06
uky	image	8	741	749	0	425	425	6	279	285	0	9	9	Aug-06
map	image	58	162	220	9	11	20	39	114	153	24	101	125	Aug-06
yrb	text	18	0	18	2	0	2	8	1	9	11	1	12	Aug-06
coc	image	0	0	0	0	0	0	0	9	9	0	0	0	Aug-06
fa	text	4	7	11	1	0	1	2	5	7	4	0	4	Aug-06
shld-bib	bib	0	0	0	0	18	18	0	7	7	0	0	0	Aug-06
emn	text	0	4	4	0	0	0	0	1	1	0	0	0	Aug-06
ldr	text	0	4	4	0	0	0	0	3	3	0	0	0	Aug-06
gar-bib	bib	0	0	0	0	27	27	0	8	8	0	0	0	Aug-06
tdh-bib	bib	0	0	0	0	36	36	0	7	7	0	0	0	Aug-06
mpm-bib	bib	0	0	0	0	45	45	0	8	8	0	0	0	Aug-06
wcc-bib	bib	0	0	0	1	18	19	1	8	9	0	0	0	Aug-06
utcat-bib	bib	0	0	0	1	21	22	1	6	7	0	0	0	Aug-06
uky-bib	bib	0	0	0	0	24	24	0	7	7	0	0	0	Aug-06
uht-bib	bib	0	0	0	0	28	28	0	8	8	0	0	0	Aug-06
ual-bib	bib	0	0	0	0	30	30	0	6	6	0	0	0	Aug-06
mcc-bib	bib	0	0	0	0	33	33	0	6	6	0	0	0	Aug-06
egy-bib	bib	0	0	0	0	36	36	0	6	6	0	0	0	Aug-06
rth-bib	bib	0	0	0	0	75	75	0	8	8	0	0	0	Aug-06
jei-bib	bib	0	0	0	0	42	42	0	6	6	0	0	0	Aug-06
spc-bib	bib	0	0	0	0	87	87	0	9	9	0	0	0	Aug-06
fa-bib	bib	0	0	0	0	48	48	0	7	7	0	0	0	Aug-06
jei	text	6	894	900	1	3	4	3	276	279	4	393	397	Aug-06
tdh	text	16	919	935	41	1159	1200	9	614	623	3	181	184	Aug-07
utcat	text	3972	20395	24367	0	0	0	1681	9705	11386	2736	13646	16382	Aug-07
rth	image	15	885	900	6	150	156	19	632	651	1	14	15	Aug-07
etd-bib	bib	0	0	0	58	304	362	55	442	497	21	98	119	Aug-07
mcc	image	3	1143	1146	8	468	476	6	175	181	1	1	2	Aug-07
shld	image	14	58	72	0	34	34	2	37	39	0	13	13	Aug-07
map	image	7	97	104	0	0	0	12	64	76	1	12	13	Aug-07
arrs	image	114	742	856	5	51	56	5	128	133	0	0	0	Aug-07
gar	image	6	433	439	0	75	75	2	139	141	0	3	3	Aug-07
vvz	image	34	280	314	0	55	55	7	76	83	0	0	0	Aug-07
egy	image	4	398	402	2	343	345	5	130	135	0	0	0	Aug-07
arrt	text	6	17	23	23	46	69	5	19	24	0	0	0	Aug-07
vvs-bib	bib	0	0	0	148	319	467	20	65	85	0	0	0	Aug-07
uky	image	3	1297	1300	2	428	430	4	107	111	0	1	1	Aug-07
uky-bib	bib	0	0	0	0	0	0	0	3	3	0	0	0	Aug-07
arro	text	0	11	11	37	134	171	2	19	21	0	0	0	Aug-07
wcc	image	23	296	319	12	133	145	7	76	83	0	7	7	Aug-07
vvb	text	36	29	65	305	207	512	9	30	39	0	0	0	Aug-07
vvi	image	67	71	138	0	85	85	10	44	54	0	0	0	Aug-07
vvo	text	7	35	42	189	293	482	7	30	37	0	0	0	Aug-07
spct-bib	bib	0	0	0	0	0	0	0	5	5	0	0	0	Aug-07
shld-bib	bib	0	0	0	3	0	3	1	4	5	0	0	0	Aug-07
spcd-bib	bib	0	0	0	14	21	35	13	22	35	0	0	0	Aug-07
ual	image	2	1167	1169	17	1157	1174	4	159	163	0	2	2	Aug-07
mpm-bib	bib	0	0	0	0	0	0	0	4	4	0	0	0	Aug-07
arr-bib	bib	0	0	0	148	45	193	8	52	60	0	0	0	Aug-07
ual-bib	bib	0	0	0	0	0	0	0	4	4	0	0	0	Aug-07
tdh-bib	bib	0	0	0	0	0	0	0	4	4	0	0	0	Aug-07
rth-bib	bib	0	0	0	0	0	0	0	3	3	0	0	0	Aug-07
spc-bib	bib	0	0	0	54	57	111	19	16	35	0	0	0	Aug-07
wcc-bib	bib	0	0	0	0	0	0	0	5	5	0	0	0	Aug-07
egy-bib	bib	0	0	0	0	0	0	0	3	3	0	0	0	Aug-07
uht-bib	bib	0	0	0	0	0	0	0	4	4	0	0	0	Aug-07
jei-bib	bib	0	0	0	0	0	0	0	4	4	0	0	0	Aug-07
utcat-bib	bib	0	0	0	0	0	0	0	3	3	0	0	0	Aug-07
vvt	text	6	14	20	24	46	70	1	12	13	0	0	0	Aug-07
gar-bib	bib	0	0	0	0	0	0	0	3	3	0	0	0	Aug-07
mcc-bib	bib	0	0	0	0	0	0	0	3	3	0	0	0	Aug-07
arrp	image	40	41	81	2	190	192	4	33	37	4	2	6	Aug-07
yrb	text	80	0	80	13	0	13	16	0	16	123	0	123	Aug-07
fa	text	344	1149	1493	600	654	1254	61	293	354	365	760	1125	Aug-07
emn	text	0	15	15	0	107	107	0	14	14	0	0	0	Aug-07
spct	text	53	22	75	44	132	176	7	19	26	0	0	0	Aug-07
fa-bib	bib	0	0	0	0	0	0	0	3	3	0	0	0	Aug-07
